# x_path held_b1_THz held_b2_THz held_b3_THz
0.0000000000 0.0000001098 0.0000001696 0.0000001925
0.0430945482 0.3542204141 0.3542204141 0.7149439846
0.0861890965 0.7080862407 0.7080862407 1.4275361121
0.1292836447 1.0612458946 1.0612458946 2.1354401589
0.1723781930 1.4133537451 1.4133537451 2.8363510746
0.2154727412 1.7640729694 1.7640729694 3.5280103322
0.2585672895 2.1130782571 2.1130782571 4.2082209973
0.3016618377 2.4600583221 2.4600583221 4.8748624213
0.3447563860 2.8047181748 2.8047181748 5.5259044700
0.3878509342 3.1467811159 3.1467811159 6.1594211939
0.4309454825 3.4859904123 3.4859904123 6.7736038552
0.4740400307 3.8221106234 3.8221106234 7.3667732210
0.5171345790 4.1549285493 4.1549285493 7.9373910390
0.5602291272 4.4842537766 4.4842537766 8.4840706116
0.6033236755 4.8099188085 4.8099188085 9.0055863840
0.6464182237 5.1317787673 5.1317787673 9.5008824670
0.6895127720 5.4497106678 5.4497106678 9.9690800106
0.7326073202 5.7636122691 5.7636122691 10.4094833517
0.7757018685 6.0734005163 6.0734005163 10.8215848518
0.8187964167 6.3790095971 6.3790095971 11.2050683467
0.8618909650 6.6803886418 6.6803886418 11.5598111254
0.9049855132 6.9774991081 6.9774991081 11.8858843568
0.9480800615 7.2703118950 7.2703118950 12.1835518807
0.9911746097 7.5588042407 7.5588042407 12.4532672801
1.0342691580 7.8429564641 7.8429564641 12.6956691528
1.0773637062 8.1227486139 8.1227486139 12.9115745015
1.1204582544 8.3981570934 8.3981570934 13.1019701692
1.1635528027 8.6691513315 8.6691513315 13.2680022546
1.2066473509 8.9356905692 8.9356905692 13.4109634573
1.2497418992 9.1977208310 9.1977208310 13.5322783266
1.2928364474 9.4551721462 9.4551721462 13.6334864170
1.3359309957 9.7079560812 9.7079560812 13.7162233969
1.3790255439 9.9559636364 9.9559636364 13.7822002117
1.4221200922 10.1990635542 10.1990635542 13.8331804663
1.4652146404 10.4371010758 10.4371010758 13.8709562770
1.5083091887 10.6698971733 10.6698971733 13.8973229264
1.5514037369 10.8972482767 10.8972482767 13.9140527600
1.5944982852 11.1189264995 11.1189264995 13.9228688566
1.6375928334 11.3346803624 11.3346803624 13.9254191032
1.6806873817 11.5442360003 11.5442360003 13.9232513829
1.7237819299 11.7472988295 11.7472988295 13.9177906397
1.7668764782 11.9435556450 11.9435556450 13.9103186033
1.8099710264 12.1326771093 12.1326771093 13.9019569314
1.8530655747 12.3143205868 12.3143205868 13.8936544571
1.8961601229 12.4881332763 12.4881332763 13.8861790993
1.9392546712 12.6537555866 12.6537555866 13.8801148295
1.9823492194 12.8108246998 12.8108246998 13.8758638760
2.0254437677 12.9589782656 12.9589782656 13.8736541220
2.0685383159 13.0978581686 13.0978581686 13.8735514172
2.1116328642 13.2271143119 13.2271143119 13.8754763043
2.1547274124 13.3464083624 13.3464083624 13.8792244713
2.1978219607 13.4554174033 13.4554174033 13.8844900951
2.2409165089 13.5538374461 13.5538374461 13.8908911456
2.2840110571 13.6413867523 13.6413867523 13.8979956787
2.3271056054 13.7178089249 13.7178089249 13.9053481529
2.3702001536 13.7828757285 13.7828757285 13.9124948564
2.4132947019 13.8363896044 13.8363896044 13.9190076116
2.4563892501 13.8781858499 13.8781858499 13.9245050306
2.4994837984 13.9081344372 13.9081344372 13.9286707112
2.5425783466 13.9261414492 13.9261414492 13.9312678811
2.5856728949 13.9321501175 13.9321501175 13.9321501175
2.6161453422 13.9278350947 13.9291452798 13.9330177958
2.6466177895 13.9148915509 13.9201342363 13.9356310026
2.6770902368 13.8933240737 13.9051274074 13.9400200647
2.7075626841 13.8631403526 13.8841422004 13.9462348995
2.7380351314 13.8243512438 13.8572030692 13.9543440812
2.7685075787 13.7769708614 13.8243415979 13.9644335494
2.7989800260 13.7210166931 13.7855966085 13.9766049749
2.8294524733 13.6565097408 13.7410142929 13.9909738020
2.8599249206 13.5834746864 13.6906483683 14.0076669944
2.8903973679 13.5019400795 13.6345602579 14.0268205109
2.9208698152 13.4119385503 13.5728192952 14.0485765483
2.9513422625 13.3135070431 13.5055029530 14.0730805874
2.9818147098 13.2066870730 13.4326970973 14.1004782878
3.0122871571 13.0915250027 13.3544962658 14.1309122765
3.0427596044 12.9680723417 13.2710039717 14.1645188816
3.0732320517 12.8363860645 13.1823330326 14.2014248641
3.1037044990 12.6965289503 13.0886059252 14.2417442013
3.1341769463 12.5485699434 12.9899551651 14.2855749780
3.1646493936 12.3925845351 12.8865237132 14.3329964385
3.1951218409 12.2286551671 12.7784654070 14.3840662521
3.2255942881 12.0568716601 12.6659454184 14.4388180405
3.2560667354 11.8773316682 12.5491407370 14.4972592109
3.2865391827 11.6901411632 12.4282406776 14.5593691328
