# x_path held_b1_THz held_b2_THz held_b3_THz
0.0000000000 -0.0000001344 0.0000000802 0.0000001021
0.0410665701 0.3541399376 0.3541399376 0.5671869227
0.0821331402 0.7077082874 0.7077082874 1.1327831809
0.1231997104 1.0601360614 1.0601360614 1.6952067076
0.1642662805 1.4108594535 1.4108594535 2.2528925789
0.2053328506 1.7593223879 1.7593223879 2.8043014547
0.2463994207 2.1049790148 2.1049790148 3.3479278632
0.2874659909 2.4472961394 2.4472961394 3.8823082799
0.3285325610 2.7857555651 2.7857555651 4.4060289495
0.3695991311 3.1198563382 3.1198563382 4.9177334053
0.4106657012 3.4491168765 3.4491168765 5.4161296389
0.4517322714 3.7730769691 3.7730769691 5.8999968759
0.4927988415 4.0912996347 4.0912996347 6.3681919180
0.5338654116 4.4033728234 4.4033728234 6.8196550104
0.5749319817 4.7089109543 4.7089109543 7.2534151994
0.6159985518 5.0075562753 5.0075562753 7.6685951483
0.6570651220 5.2989800390 5.2989800390 8.0644153790
0.6981316921 5.5828834855 5.5828834855 8.4401979160
0.7391982622 5.8589986267 5.8589986267 8.7953693077
0.7802648323 6.1270888269 6.1270888269 9.1294630067
0.8213314025 6.3869491774 6.3869491774 9.4421210941
0.8623979726 6.6384066624 6.6384066624 9.7330953358
0.9034645427 6.8813201177 6.8813201177 10.0022475632
0.9445311128 7.1155799825 7.1155799825 10.2495493755
0.9855976830 7.3411078486 7.3411078486 10.4750811637
1.0266642531 7.5578558119 7.5578558119 10.6790304613
1.0677308232 7.7658056334 7.7658056334 10.8616896302
1.1087973933 7.9649677165 7.9649677165 11.0234528952
1.1498639634 8.1553799130 8.1553799130 11.1648127436
1.1909305336 8.3371061670 8.3371061670 11.2863557115
1.2319971037 8.5102350115 8.5102350115 11.3887575812
1.2730636738 8.6748779302 8.6748779302 11.4727780201
1.3141302439 8.8311676017 8.8311676017 11.5392546928
1.3551968141 8.9792560414 8.9792560414 11.5890968850
1.3962633842 9.1193126580 9.1193126580 11.6232786797
1.4373299543 9.2515222441 9.2515222441 11.6428317311
1.4783965244 9.3760829178 9.3760829178 11.6488376842
1.5194630946 9.4932040340 9.4932040340 11.6424202959
1.5605296647 9.6031040847 9.6031040847 11.6247373098
1.6015962348 9.7060086048 9.7060086048 11.5969721492
1.6426628049 9.8021481023 9.8021481023 11.5603254884
1.6837293751 9.8917560284 9.8917560284 11.5160067701
1.7247959452 9.9750668033 9.9750668033 11.4652257365
1.7658625153 10.0523139116 10.0523139116 11.4091840441
1.8069290854 10.1237280800 10.1237280800 11.3490670332
1.8479956555 10.1895355476 10.1895355476 11.2860357199
1.8890622257 10.2499564382 10.2499564382 11.2212190806
1.9301287958 10.3052032411 10.3052032411 11.1557066905
1.9711953659 10.3554794053 10.3554794053 11.0905417761
2.0122619360 10.4009780511 10.4009780511 11.0267147322
2.0533285062 10.4418807986 10.4418807986 10.9651571453
2.0943950763 10.4783567142 10.4783567142 10.9067363564
2.1354616464 10.5105613723 10.5105613723 10.8522505822
2.1765282165 10.5386360285 10.5386360285 10.8024246034
2.2175947867 10.5627069009 10.5627069009 10.7579060175
2.2586613568 10.5828845539 10.5828845539 10.7192620399
2.2997279269 10.5992633784 10.5992633784 10.6869768306
2.3407944970 10.6119211645 10.6119211645 10.6614493160
2.3818610671 10.6209187595 10.6209187595 10.6429914705
2.4229276373 10.6262998082 10.6262998082 10.6318270250
2.4639942074 10.6280905694 10.6280905694 10.6280905694
2.4930326576 10.6271951835 10.6273652134 10.6297902857
2.5220711078 10.6245045865 10.6251704064 10.6348994698
2.5511095580 10.6200055308 10.6214501676 10.6434479686
2.5801480082 10.6136761709 10.6161119761 10.6554846684
2.6091864585 10.6054864102 10.6090279266 10.6710762217
2.6382249087 10.5953983826 10.6000363153 10.6903052942
2.6672633589 10.5833670613 10.5889436284 10.7132683618
2.6963018091 10.5693409898 10.5755268945 10.7400730954
2.7253402593 10.5532631264 10.5595363626 10.7708353791
2.7543787095 10.5350717935 10.5406984575 10.8056760171
2.7834171597 10.5147017228 10.5187189679 10.8447171901
2.8124556100 10.4920851846 10.4932864169 10.8880787285
2.8414940602 10.4640755678 10.4671531913 10.9358742770
2.8705325104 10.4307510195 10.4398367641 10.9882074266
2.8995709606 10.3929708472 10.4100682503 11.0451678941
2.9286094108 10.3503902499 10.3777826814 11.1068278276
2.9576478610 10.3026651674 10.3429191596 11.1732383155
2.9866863112 10.2494558395 10.3054222622 11.2444261713
3.0157247615 10.1904302773 10.2652434529 11.3203910610
3.0447632117 10.1252676314 10.2223424901 11.4011030289
3.0738016619 10.0536614368 10.1766888219 11.4865004692
3.1028401121 9.9753227297 10.1282629588 11.5764885782
3.1318785623 9.8899830268 10.0770578142 11.6709383089
3.1609170125 9.7973971700 10.0230800049 11.7696858372
3.1899554627 9.6973460413 9.9663511021 11.8725325365
3.2189939130 9.5896391560 9.9069088254 11.9792454444
3.2480323632 9.4741171500 9.8448081704 12.0895581966
3.2770708134 9.3506541803 9.7801224624 12.2031723917
3.3061092636 9.2191602635 9.7129443255 12.3197593457
3.3351477138 9.0795835815 9.6433865593 12.4389621881
3.3641861640 8.9319127934 9.5715829116 12.5603982495
3.3932246142 8.7761793947 9.4976887359 12.6836616876
3.4222630645 8.6124601801 9.4218815209 12.8083263017
3.4513015147 8.4408798692 9.3443612772 12.9339484845
3.4803399649 8.2616139738 9.2653507664 13.0600702646
3.5093784151 8.0748919960 9.1850955526 13.1862223974
3.5384168653 7.8810010653 9.1038638579 13.3119274646
3.5674553155 7.6802901465 9.0219461994 13.4367029497
3.5964937657 7.4731749730 8.9396547833 13.5600642591
3.6255322160 7.2601438949 8.8573226313 13.6815276661
3.6545706662 7.0417648601 8.7753024123 13.8006131559
3.6836091164 6.8186937899 8.6939649532 13.9168471579
3.7126475666 6.5916846439 8.6136974013 14.0297651522
3.7416860168 6.3616015015 8.5349010170 14.1389141406
3.7707244670 6.1294330000 8.4579885740 14.2438549790
3.7997629172 5.8963094430 8.3833813569 14.3441645635
3.8288013675 5.6635227889 8.3115057476 14.4394378721
3.8578398177 5.4325494967 8.2427894099 14.5292898590
3.8868782679 5.2050757496 8.1776570906 14.6133572035
3.9159167181 4.9830237722 8.1165260742 14.6912999153
3.9449551683 4.7685766441 8.0598013468 14.7628027975
3.9739936185 4.5641970240 8.0078705433 14.8275767706
4.0030320687 4.3726324611 7.9610987744 14.8853600600
4.0320705190 4.1968967020 7.9198234453 14.9359192499
4.0611089692 4.0402134379 7.8843491979 14.9790502058
4.0901474194 3.9059081235 7.8549431172 15.0145788688
4.1191858696 3.7972376905 7.8318303484 15.0423619237
4.1482243198 3.7171601166 7.8151902711 15.0622873424
4.1772627700 3.6680662993 7.8051533626 15.0742748052
4.2063012202 3.6515200516 7.8017988676 15.0782760008
4.2353396705 3.6498169764 7.8004718182 15.0751662791
4.2643781207 3.6447113689 7.7964818883 15.0658248826
4.2934165709 3.6362140693 7.7898028293 15.0502152489
4.3224550211 3.6243431016 7.7803912142 15.0282768810
4.3514934713 3.6091236074 7.7681869142 14.9999260005
4.3805319215 3.5905877554 7.7531137542 14.9650564508
4.4095703717 3.5687746237 7.7350803409 14.9235408381
4.4386088220 3.5437300578 7.7139810472 14.8752318948
4.4676472722 3.5155065025 7.6896971426 14.8199640498
4.4966857224 3.4841628099 7.6620980510 14.7575551843
4.5257241726 3.4497640224 7.6310427209 14.6878085537
4.5547626228 3.4123811316 7.5963810888 14.6105148519
4.5838010730 3.3720908150 7.5579556174 14.5254543955
4.6128395232 3.3289751488 7.5156028919 14.4323994030
4.6418779735 3.2831212994 7.4691552534 14.3311163457
4.6709164237 3.2346211934 7.4184424538 14.2213683463
4.6999548739 3.1835711670 7.3632933151 14.1029176017
4.7289933241 3.1300715963 7.3035373758 13.9755278080
4.7580317743 3.0742265088 7.2390065116 13.8389665667
4.7870702245 3.0161431768 7.1695365162 13.6930077520
4.8161086747 2.9559316960 7.0949686295 13.5374338211
4.8451471250 2.8937045468 7.0151510046 13.3720380502
4.8741855752 2.8295761440 6.9299401028 13.1966266828
4.9032240254 2.7636623724 6.8392020094 13.0110209751
4.9322624756 2.6960801129 6.7428136643 12.8150591279
4.9613009258 2.6269467586 6.6406640024 12.6085980951
4.9903393760 2.5563797245 6.5326549988 12.3915152605
5.0193778262 2.4844959512 6.4187026172 12.1637099754
5.0484162765 2.4114114059 6.2987376591 11.9251049524
5.0774547267 2.3372405826 6.1727065126 11.6756475117
5.1064931769 2.2620960039 6.0405718009 11.4153106757
5.1355316271 2.1860877272 5.9023129307 11.1440941116
5.1645700773 2.1093228578 5.7579265416 10.8620249214
5.1936085275 2.0319050728 5.6074268576 10.5691582786
5.2226469777 1.9539341583 5.4508459439 10.2655779132
5.2516854280 1.8755055634 5.2882338686 9.9513964476
5.2807238782 1.7967099747 5.1196587755 9.6267555850
5.3097623284 1.7176329160 4.9452068670 9.2918261532
5.3388007786 1.6383543756 4.7649823029 8.9468080083
5.3678392288 1.5589484660 4.5791070169 8.5919298018
5.3968776790 1.4794831209 4.3877204538 8.2274486151
5.4259161292 1.4000198320 4.1909792319 7.8536494664
5.4549545795 1.3206134315 3.9890567328 7.4708446953
5.4839930297 1.2413119231 3.7821426226 7.0793732296
5.5130314799 1.1621563654 3.5704423083 6.6795997397
5.5420699301 1.0831808123 3.3541763317 6.2719136872
5.5711083803 1.0044123123 3.1335797063 5.8567282723
5.6001468305 0.9258709701 2.9089011989 5.4344792853
5.6291852807 0.8475700717 2.6804025607 5.0056238707
5.6582237310 0.7695162762 2.4483577108 4.5706392068
5.6872621812 0.6917098728 2.2130518762 4.1300211087
5.7163006314 0.6141451032 1.9747806916 3.6842825614
5.7453390816 0.5368105494 1.7338492626 3.2339521869
5.7743775318 0.4596895826 1.4905711964 2.7795726547
5.8034159820 0.3827608713 1.2452676030 2.3216990393
5.8324544322 0.3059989428 0.9982660708 1.8608971325
5.8614928825 0.2293747948 0.7498996206 1.3977417173
5.8905313327 0.1528565471 0.5005056409 0.9328148088
5.9195697829 0.0764101303 0.2504248088 0.4667038684
5.9486082331 -0.0000001344 0.0000000802 0.0000001021
5.9841729261 0.1929405464 0.1929405464 0.5958145278
6.0197376190 0.3861561208 0.3861561208 1.1900496549
6.0553023120 0.5799118287 0.5799118287 1.7811356379
6.0908670050 0.7744532470 0.7744532470 2.3675219693
6.1264316980 0.9699974364 0.9699974364 2.9476867978
6.1619963909 1.1667248405 1.1667248405 3.5201461136
6.1975610839 1.3647722985 1.3647722985 4.0834626198
6.2331257769 1.5642273460 1.5642273460 4.6362542160
6.2686904699 1.7651239235 1.7651239235 5.1772020183
6.3042551628 1.9674395560 1.9674395560 5.7050578446
6.3398198558 2.1710940160 2.1710940160 6.2186510949
6.3753845488 2.3759494341 2.3759494341 6.7168949597
6.4109492417 2.5818117870 2.5818117870 7.1987918936
6.4465139347 2.7884336586 2.7884336586 7.6634382929
6.4820786277 2.9955181540 2.9955181540 8.1100283234
6.5176433207 3.2027238284 3.2027238284 8.5378568472
6.5532080136 3.4096704917 3.4096704917 8.9463214040
6.5887727066 3.6159457426 3.6159457426 9.3349232097
6.6243373996 3.8211120962 3.8211120962 9.7032671411
6.6599020926 4.0247145673 4.0247145673 10.0510606861
6.6954667855 4.2262885847 4.2262885847 10.3781118469
6.7310314785 4.4253681156 4.4253681156 10.6843259944
6.7665961715 4.6214938870 4.6214938870 10.9697016868
6.8021608644 4.8142215996 4.8142215996 11.2343254760
6.8377255574 5.0031300297 5.0031300297 11.4783657413
6.8732902504 5.1878289237 5.1878289237 11.7020656064
6.9088549434 5.3679665874 5.3679665874 11.9057350136
6.9444196363 5.5432370733 5.5432370733 12.0897420444
6.9799843293 5.7133868699 5.7133868699 12.2545035976
7.0155490223 5.8782209895 5.8782209895 12.4004755522
7.0511137153 6.0376083517 6.0376083517 12.5281425619
7.0866784082 6.1914863518 6.1914863518 12.6380076442
7.1222431012 6.3398644992 6.3398644992 12.7305817415
7.1578077942 6.4828270078 6.4828270078 12.8063734456
7.1933724872 6.6205342153 6.6205342153 12.8658790825
7.2289371801 6.7532227106 6.7532227106 12.9095733602
7.2645018731 6.8812040512 6.8812040512 12.9379007812
7.3000665661 7.0048619616 7.0048619616 12.9512680116
7.3356312590 7.1246479230 7.1246479230 12.9500373896
7.3711959520 7.2410750883 7.2410750883 12.9345217327
7.4067606450 7.3547104912 7.3547104912 12.9049805822
7.4423253380 7.4661655695 7.4661655695 12.8616179908
7.4778900309 7.5760850737 7.5760850737 12.8045819271
7.5134547239 7.6851345042 7.6851345042 12.7339653341
7.5490194169 7.7939862917 7.7939862917 12.6498088416
7.5845841099 7.9033050127 7.9033050127 12.5521050963
7.6201488028 8.0137320047 8.0137320047 12.4408046376
7.6557134958 8.1258698138 8.1258698138 12.3158232200
7.6912781888 8.2402669518 8.2402669518 12.1770504557
7.7268428817 8.3574034695 8.3574034695 12.0243596350
7.7624075747 8.4776778476 8.4776778476 11.8576185722
7.7979722677 8.6013956781 8.6013956781 11.6767013232
7.8335369607 8.7287605421 8.7287605421 11.4815006321
7.8691016536 8.8598674038 8.8598674038 11.2719409783
7.9046663466 8.9946987288 8.9946987288 11.0479921296
7.9402310396 9.1331234167 9.1331234167 10.8096831427
7.9757957326 9.2748985125 9.2748985125 10.5571168097
8.0113604255 9.4196735516 9.4196735516 10.2904846110
8.0469251185 9.5669972952 9.5669972952 10.0100823240
8.0824898115 9.7163265363 9.7163265363 9.7163265363
8.1180545044 9.4097724451 9.8670366127 9.8670366127
