frame_index,iteration,time_ps,temperature_K,pressure_GPa,mag_total_Bohr,abs_mag_total_Bohr,b000,b001,b002,b003,b004,b005,b006,b007,b008,b009,b010,b011,b012
0,3,0.003000000026077032,4486.9521484375,138.2410125732422,-4.199999809265137,17.56999969482422,1.6867293671973622,-3.6862588405696073,-0.5898682535193024,-22.47491717870537,-1.2597373033250816,0.24707635824701776,3.8826834014795333,10.351030615158061,-6.910721368409854,-0.01880921627356044,-0.43317021493240093,0.8617799070790608,-4.361223085050548
1,4,0.004000000189989805,4378.32470703125,137.29000854492188,-4.420000076293945,18.059999465942383,2.0321572785872615,-3.8720377395928107,-0.5972341201339356,-21.71612063205169,-1.3320068065825525,0.20759414160008435,3.7314937954193472,9.71322565186772,-6.491084129108905,-0.6383407567576932,-0.17095343122499695,1.134477922671923,-3.9165043797830723
2,5,0.004999999888241291,4568.61865234375,136.4130096435547,-4.550000190734863,18.670000076293945,2.0819440932378868,-3.487422092453281,-0.5501342016245103,-21.89635659636728,-1.2007015604568172,0.2445680782356535,3.6090822434898424,10.020380658669147,-6.600691031534155,-0.8641915734690079,-0.1611573014893166,1.048592733010261,-3.956131786484244
3,6,0.006000000052154064,4380.0947265625,135.2469940185547,-4.5,18.969999313354492,2.4704418905067307,-3.73112565849595,-0.6519202667496217,-20.748718085690907,-1.3417324052676027,0.15712457157863371,3.1440493210266234,9.001434606321522,-5.969877035542592,-1.5921385770307594,0.3640864407619797,1.1976697076285978,-3.194704463376753
4,7,0.007000000216066837,4433.1865234375,134.3350067138672,-4.349999904632568,19.3799991607666,2.625349518334279,-3.3043061040726345,-0.9836969730251366,-20.60750453260278,-1.1549562610277557,0.11649633421456944,2.8539054523663916,8.85670479537318,-6.129744732286039,-1.9891945509682067,0.21202800237238692,0.8255375330805519,-2.922636521340179
5,8,0.00800000037997961,4596.87939453125,133.49000549316406,-4.179999828338623,19.6200008392334,2.970641152890854,-3.4567495212246957,-1.1415138994286016,-19.51440033099867,-1.3370036128736629,-0.01853702720439931,2.122891179221874,7.768267576458633,-5.535129965912911,-2.6477864921703596,0.9227827414733721,0.765212500079123,-2.0380096489285986
6,9,0.008999999612569809,4609.32373046875,131.61500549316406,-3.9800000190734863,19.90999984741211,3.2854863395185587,-2.9952258702709886,-1.8280599743364077,-19.066183927897267,-1.192036246688986,-0.17605876263717588,1.5670016182210897,7.098057314964947,-5.714942255031485,-3.3033751564471174,0.8006485523116496,0.16432755107413155,-1.494983743376665
7,10,0.009999999776482582,4825.52001953125,130.94000244140625,-3.8299999237060547,19.950000762939453,3.3536616841009277,-3.7997048653220604,-1.1916182381025646,-18.11536354718195,-1.8109346525039471,-0.36055817095011217,0.7407414384577469,5.928064486007686,-4.817711300464498,-3.2690177562634153,2.590812574836986,0.5699049324823325,-0.5111342172632004
8,11,0.010999999940395355,4682.62939453125,130.19100952148438,-3.559999942779541,19.8700008392334,3.7259155358005414,-2.994338336154623,-2.4650615258075734,-17.73965310460585,-1.4776065490762322,-0.5778568117736543,0.14013428710761874,5.134494586247491,-5.395419611793164,-4.040890725280541,1.874811841225438,-0.4787814833451607,0.11131730125443372
9,12,0.012000000104308128,4815.69091796875,128.56300354003906,-3.359999895095825,19.719999313354492,3.1821132358885778,-3.9845712017004464,-0.9806041428455956,-17.89306262033657,-2.133902434887961,-0.6644878214811925,-0.05661504137778536,4.982715619281673,-4.816704353064899,-2.7721791327185974,3.6835944658113293,0.33754430571239896,0.706635285160882
10,13,0.013000000268220901,4760.8203125,129.34100341796875,-2.990000009536743,19.420000076293945,3.4222788168805645,-3.3665582338965176,-2.1814947048383884,-17.546061577072905,-1.7966822311956174,-0.9404251073917755,-0.4540679467939655,4.201378024212988,-5.4039487732912415,-3.2823409967563584,2.9850802657300615,-0.6166399833773706,1.3560080008881632
11,14,0.014000000432133675,4792.56787109375,127.4280014038086,-2.7300000190734863,19.239999771118164,2.4883111770439204,-3.8907282027374444,-0.548695352097068,-18.81921395258313,-2.0721159278214034,-0.6709762684727577,0.2176603501002356,5.368196885616323,-5.176042017106829,-1.6633012004345784,3.56010419704651,0.29339362665115076,1.6195259937726265
12,15,0.014999999664723873,4579.20849609375,126.83900451660156,-2.299999952316284,18.969999313354492,2.729834995803479,-3.165534362792306,-2.0257565964198454,-18.279595853485798,-1.6766602365462189,-0.9392516115382268,-0.046996856585425774,4.611292332667315,-5.750471109452855,-2.214761563447845,2.508600302386688,-0.7872490513073117,2.1531245686961342
13,16,0.01600000075995922,4676.6669921875,128.6020050048828,-1.9199999570846558,18.690000534057617,2.022441148074447,-3.109986066105825,-1.2138172447436029,-19.598088716989512,-1.5198813975868746,-0.5929488196740885,0.866675160533412,5.920894175767515,-5.761385418309925,-1.4434670952857978,1.9996583106412966,-0.31553514322445675,2.317606568212913
14,17,0.017000000923871994,4742.02685546875,128.41400146484375,-1.6100000143051147,18.40999984741211,1.2168118997678004,-2.831736315581379,-0.21488802426654008,-21.432226501560137,-1.295905721020589,0.008313114576096636,1.9429996455476246,7.793520267566026,-5.659314598932006,-0.8029919381505194,1.1502253694614488,0.23652988526805285,2.4657295599928397
15,18,0.017999999225139618,4654.02685546875,128.3730010986328,-0.9300000071525574,17.729999542236328,1.9122860792463119,-2.4047819284023424,-2.450046191810385,-19.42116970657078,-1.1267155730115166,-0.8339095888795776,1.3970444311201953,5.726942042824853,-6.336432104344359,-1.5484466468621079,0.6103880469731144,-1.0969556878319207,2.485898205097712
16,19,0.01899999938905239,4043.45263671875,127.84200286865234,-0.5400000214576721,17.299999237060547,1.386319592999051,-2.1128401257423417,-1.791361272850677,-20.858630813637372,-1.0610322686927767,-0.3638552543396476,2.224237666701768,7.079277124514687,-6.32329136468941,-1.196339562191072,-0.09076915511747738,-0.7120036148133113,2.356174768417461
17,20,0.019999999552965164,3910.322265625,128.73001098632812,-0.1599999964237213,16.790000915527344,1.1504570571033794,-1.8274202138729696,-1.592565152779941,-21.42945338447383,-1.035422348931272,-0.20396005737008796,2.658633096372811,7.662030153555781,-6.33910851647616,-1.026066044951482,-0.5747759320730029,-0.6180411281999576,2.19068656463021
18,21,0.020999999716877937,3665.8623046875,129.81800842285156,-0.019999999552965164,16.489999771118164,0.7077243772530173,-1.3869273342477526,-0.8141299262933586,-23.000110851826314,-0.9969244388165197,0.35174996811817355,3.162634549630655,9.019329827829361,-6.229501425153724,-0.8048674459816356,-1.2517488562970946,-0.31109145043881975,2.227016879850322
19,22,0.02199999988079071,3509.346923828125,129.87400817871094,0.10999999940395355,16.110000610351562,0.631373773492846,-1.1876976123956962,-0.7855523207388839,-23.363220790830926,-1.0319266073757813,0.40254400049023253,3.3885944925572633,9.233459302949655,-6.250532864402501,-0.8573747820836517,-1.5204063040350373,-0.3359548196766487,2.0172118247908384
20,23,0.023000000044703484,3441.0078125,129.53199768066406,0.28999999165534973,15.470000267028809,0.7915916405600228,-1.284879812975325,-1.2582392386264831,-22.50654459159402,-1.2520225260678552,-0.050392283368418424,3.655979587470906,8.59196236663035,-6.366055533936513,-0.7316257067467807,-1.4243068121144362,-0.38123560548588475,1.3200940718217387
21,24,0.024000000208616257,3297.96142578125,130.72900390625,0.4099999964237213,15.210000038146973,0.519262864405368,-0.8614213446254715,-0.6765097198934698,-23.84863632141852,-1.1782121405442012,0.4010163600646827,3.7458631769182897,9.54224466589693,-6.234554016081512,-0.8172225324193494,-1.8694206069053556,-0.33416441891696286,1.5517547191498666
22,25,0.02500000037252903,3327.814453125,131.15899658203125,0.5099999904632568,15.020000457763672,0.40450361856061684,-0.5343438390062364,-0.41899755757949075,-24.469277721519603,-1.1811741669804596,0.6222720818450117,3.664464049805776,9.972203686587054,-6.121722385386797,-0.8828255251632074,-2.1174099113138944,-0.3979126007094454,1.6658188077263536
23,26,0.026000000536441803,3258.75830078125,130.73500061035156,0.6899999976158142,14.8100004196167,0.459247420644674,-0.7704627057605674,-0.7277643507118728,-23.753649775422165,-1.4173825245390272,0.12814503581760878,4.130543929395541,9.525402477750946,-6.15696944921671,-0.6875378334260328,-1.8627968796855872,-0.29471031496909317,0.8366392896370741
24,27,0.027000000700354576,3236.24365234375,131.88999938964844,0.7900000214576721,14.710000038146973,0.40773988955852614,-0.14114445620867222,-0.21551010265321086,-24.800468279439247,-1.1118005609545774,0.6808706086175996,3.3958330475248646,10.183660448624357,-5.949187634532721,-1.1151592717286465,-2.229219737216589,-0.6052340180637689,1.7170635442794506
25,28,0.02800000086426735,3170.59130859375,131.24400329589844,1.0299999713897705,14.479999542236328,0.36216616035240473,-0.48603922635528285,-0.49201609402909696,-24.072740077118603,-1.3775970142578524,0.07940543989593006,4.10840570974925,9.854152091278797,-5.950926357233381,-0.7969498375630971,-1.8731641852356045,-0.4382173308806437,0.7030965089760715
26,29,0.028999999165534973,3086.1728515625,130.78399658203125,1.1399999856948853,14.369999885559082,0.5042613473455279,0.06474284433209904,-0.22184564289116812,-24.41672226160793,-1.0490535320247216,0.4732848122365853,3.1590731978896955,10.059442794600127,-5.801152430861163,-1.2472234688690758,-2.073536130165281,-0.8136644243675895,1.5556196616672122
27,30,0.029999999329447746,3148.0966796875,130.22300720214844,1.309999942779541,14.350000381469727,0.26641922845554944,-0.266295719337869,-0.31770606204421425,-23.945514245162233,-1.4329181229520296,-0.14855783524530125,4.127065807726016,10.115203942884124,-5.770370757205484,-0.574746627360282,-1.6901428480928333,-0.5531810085766113,0.4291901706709656
28,31,0.03099999949336052,3279.258056640625,131.14500427246094,1.3600000143051147,14.3100004196167,0.6922374977221555,0.11526824718155215,-0.3465705711562535,-23.916237986323022,-0.9069508706723038,0.1163985135739394,2.9785268620382515,9.8361068935002,-5.781231209044953,-1.403784061115964,-1.7449648555042565,-1.1016989464885785,1.40325638885698
29,32,0.03200000151991844,3510.69091796875,130.35699462890625,1.3799999952316284,14.1899995803833,0.47593448979616354,-0.08657890388509618,-0.30983973324372127,-23.843278340093764,-1.1014046294161384,-0.3928293724919395,3.77014198372693,10.093771565244746,-5.778197571950602,-0.9166294615983744,-1.4455199198083617,-1.0067191632101373,0.6255001921931136
30,33,0.032999999821186066,3214.56640625,131.42800903320312,1.350000023841858,14.109999656677246,0.6837303041157,0.08862560049288476,-0.33778182266748924,-23.514103649367033,-0.8759249685689199,-0.45027768483729835,3.265450901731477,9.981781341950393,-5.76031691918257,-1.064178041875822,-1.3232087560632828,-1.3540214291088275,0.947200713623613
31,34,0.03400000184774399,3428.5458984375,129.33399963378906,1.25,13.930000305175781,1.1111781620694003,0.2485664336176358,-0.4899828773182538,-22.916840524445472,-0.5493597791184054,-0.4021447377678799,2.319977842216605,9.51018912643312,-5.843422005818131,-1.3657924702444142,-1.2065967795393036,-1.8177600214260086,1.5393050773217218
32,35,0.03500000014901161,3658.108154296875,128.2620086669922,1.1200000047683716,13.84000015258789,1.832019627540425,0.49101996959837446,-0.8127694434902338,-21.795838971531047,-0.20215504261319614,-0.19544142862167177,0.7555878410145503,8.6037423877363,-5.957571446845314,-1.8329404644731735,-1.080335919323487,-2.373343151499661,2.401942224749
33,36,0.035999998450279236,3566.907470703125,128.6580047607422,0.75,13.720000267028809,1.106095103869736,0.05571729940645004,-0.3837231726444421,-22.762175557612217,-0.32866902669250264,-1.050874577776748,2.889972164334324,9.840644403799956,-5.94566273762662,-0.8967361862246014,-0.8082594017850266,-2.1708535606852677,1.1745190975908006
34,37,0.03700000047683716,3586.50390625,127.06300354003906,0.5099999904632568,13.670000076293945,2.072508433357626,0.21758130586333832,-0.8791130493777423,-21.228397734630743,-0.030332020778596064,-0.7392747480254965,0.9405248482593787,8.421902427007636,-6.163615004700495,-1.4917418681024384,-0.6265709978124926,-2.755917639562908,2.115393349909
35,38,0.03799999877810478,3900.2373046875,127.49200439453125,0.20999999344348907,13.579999923706055,2.401951410334358,0.10558112765963976,-0.9968114587841281,-20.629575714019737,0.07570922261196726,-0.8432067286080123,0.49353293573604634,7.959315944757382,-6.33188485837505,-1.392763339973444,-0.39905096049912825,-3.0274293393136933,2.238065493616649
36,39,0.039000000804662704,3827.99853515625,127.09300994873047,-0.3199999928474426,13.470000267028809,1.7574047639055832,-0.1492902884544281,-0.47271569344747283,-21.726975729016782,0.3764946742444006,-1.5814011794803795,2.4043176082067848,9.368482168723434,-6.255290425890775,-0.6889131563628668,-0.4104237082066901,-3.122196877035154,1.5677710411031933
37,40,0.03999999910593033,3881.486328125,125.4020004272461,-0.5400000214576721,13.430000305175781,2.8758071875018603,-0.26885120253156064,-1.0784552800333036,-19.904954558272184,0.03347544072399163,-0.9814512835534037,-0.05758056580964694,7.102683471555763,-6.736233209247756,-1.0831109932982956,0.09730187912832299,-3.2739052100051005,2.114459032980902
38,41,0.04100000113248825,3982.162353515625,125.98500061035156,-0.8399999737739563,13.329999923706055,2.6427642350050684,-0.4990057206945052,-0.7858466437637721,-20.48161067966923,0.4277905832444938,-1.514228400032216,1.083708349501737,7.830907216636622,-6.722955078569328,-0.8067924098778025,0.08883777121347339,-3.5031349338833078,1.8057406342538218
39,42,0.041999999433755875,4022.915283203125,124.31600189208984,-0.949999988079071,13.229999542236328,3.304414416056313,-0.8341226027053803,-1.0042275049898512,-19.497211055115752,-0.5453377293641973,-0.8012786415689417,-0.8535515067682358,5.889697609228311,-7.426895186507127,-0.4264780850261748,0.7604903702852622,-3.086182732285282,1.6334421973466786
40,43,0.0430000014603138,3767.11865234375,124.71600341796875,-1.0399999618530273,13.029999732971191,3.0849084907959887,-0.9352332871947968,-0.7554718307197293,-20.069910362112147,0.04614617971746865,-1.3536644681632968,0.2728542231995862,6.732326333481309,-7.219757917046294,-0.43253587806482424,0.6202853653960755,-3.5110350777831365,1.5312153592912248
41,44,0.04399999976158142,3739.993408203125,124.5040054321289,-1.0499999523162842,12.829999923706055,3.470502735927344,-1.5420213630146358,-0.6184968609816553,-19.591957094588672,-1.3834494595527016,-0.5762543622227687,-1.3716185940944308,4.820762554271007,-8.150638985136677,0.49489618363663856,1.5504270299966998,-2.547260053446497,0.8025765385075202
42,45,0.04500000178813934,3638.90283203125,123.14599609375,-1.0399999618530273,12.640000343322754,3.67732495103948,-2.7675621453656976,-0.11454030306254909,-19.383230237484074,-2.6526655400041976,-0.1512856138209215,-2.354969565890331,2.812085777301061,-9.505518820517231,1.9556159351193425,2.743199282395993,-1.1371189674076791,-0.34690730149042454
43,46,0.04600000008940697,3460.088623046875,123.76800537109375,-0.9900000095367432,12.319999694824219,3.6356161541303837,-2.041036284223022,-0.2563191731297451,-19.796106712001123,-2.295365020372007,-0.29948185613114914,-2.01786041686918,3.863642586108363,-8.621469858612382,1.056390393471894,2.385628533656979,-2.1058405042907284,0.076462835698171
44,47,0.04699999839067459,3545.87841796875,123.70100402832031,-0.949999988079071,12.130000114440918,3.676155967538146,-3.227471908145968,0.38920464718164893,-19.800094738165214,-3.0150848120590585,-0.17850289445094678,-2.1550519969041333,2.5821422201020416,-9.749656968535463,2.4384568955676715,3.218072480504312,-0.8375898580950625,-1.0475614726215638
45,48,0.04800000041723251,3604.476318359375,123.22200012207031,-0.8899999856948853,11.890000343322754,3.807913029285293,-2.9601451156271437,0.37093387434309316,-19.890993733366685,-3.5293204358463623,0.14415606751369092,-2.710529987882238,2.44690263128678,-9.522840860661331,2.1335561741157036,3.445047817213083,-0.9066542056689187,-1.163731032553533
46,49,0.04899999871850014,3647.8984375,123.24700164794922,-0.8399999737739563,11.75,4.060419477897741,-2.960538449703574,0.34483129513975036,-19.954744374789577,-3.7211252417897187,0.25860542907197553,-3.016084606473627,2.178084200596826,-9.361678704150913,1.4822356885034256,3.8075979525794366,-1.0107249327189372,-1.3511667060916663
47,50,0.05000000074505806,3972.427001953125,123.73299407958984,-0.7599999904632568,11.760000228881836,3.6554235552332086,-3.6752783917582046,1.1638884382333454,-19.84796071058338,-3.1657999655659346,0.3730430936347557,-1.2165368145891948,2.8695548094452215,-10.164031084371105,3.161769327924492,2.6705089467481664,0.534567651666637,-2.650238711767336
48,51,0.050999999046325684,3969.268798828125,122.9439926147461,-0.6600000262260437,11.8100004196167,3.155507957666295,-3.7717552574745556,1.6806883045667547,-19.700754094824664,-2.0494904552822018,0.4653756752456681,1.1989760785903656,4.543591161424101,-10.397754107049,4.143710126474355,0.6625195322576244,1.7512316623805304,-3.6831205630918507
49,52,0.052000001072883606,3818.6796875,123.88800048828125,-0.41999998688697815,12.039999961853027,3.6743176186442716,-3.020469711560147,1.237666223821103,-19.610451219014095,-2.6241490423378315,0.9637947712743086,-0.21161912567225738,4.228892441232407,-9.551750251475482,2.3326767124695826,1.2727607213935772,1.0118778849984877,-3.350991417965922
50,53,0.05299999937415123,3767.721923828125,123.822998046875,-0.07999999821186066,12.510000228881836,3.8826972794737378,-2.6822000181827566,1.2455185182302715,-19.42214243588687,-2.6007641653752103,1.3444562668094906,-0.3736431853487239,4.519259364561791,-9.11423198772824,1.5720320382959185,1.114747239557054,0.9918236072162472,-3.5824844585204088
51,54,0.05400000140070915,3665.00830078125,123.45600891113281,0.1599999964237213,12.90999984741211,3.4805041185858916,-2.402351107218978,1.359449678051243,-19.24542747234948,-1.7228988178784514,1.3066077006773578,1.4136118376554596,5.9697024775326275,-9.060756428384911,1.8427958219374745,-0.4741599901884257,1.7854130613626167,-4.0884497274618505
52,55,0.054999999701976776,3794.511962890625,125.76000213623047,0.27000001072883606,13.109999656677246,2.488656646671179,-1.75559263514522,1.1192206483854708,-19.341410365707418,-0.17839056714462784,0.8345173181934837,4.5961040450876975,8.590442829961587,-9.000820634702091,2.369361572927656,-3.212386972438686,2.7195381296619283,-4.32383149281855
53,56,0.0560000017285347,3786.297607421875,125.48699951171875,0.3700000047683716,13.34000015258789,2.8359575486182536,-1.4922068665545236,1.031018593528317,-19.271702552166875,-0.5169576454151952,1.0166411725281228,3.4372482468520458,8.071789493015775,-8.786050195396806,1.570463261359537,-2.4757699168262666,2.3136181041530586,-4.061670944051415
54,57,0.05700000002980232,3581.46044921875,124.9050064086914,0.4300000071525574,13.550000190734863,2.9481846775667595,-1.2204830178969002,0.9498318268773699,-19.22580846247895,-0.6074814058847315,1.0575739052660214,2.8808091239895144,7.978325370850071,-8.625746126407313,1.1072846401966316,-2.165039920485715,2.103154566893066,-3.8059931564066205
55,58,0.057999998331069946,3258.98974609375,127.54100799560547,0.41999998688697815,13.680000305175781,2.384294301074497,-0.5981150956528488,0.1965024974167173,-19.666872345457595,0.16707139307547658,0.21519914174865618,3.8480344458010918,8.972907414926928,-8.59098753935002,0.72132388911109,-2.914285155641733,1.8186517687465669,-2.8224197961252924
56,59,0.05900000035762787,3201.475830078125,125.34100341796875,0.3499999940395355,13.739999771118164,3.1415764806368465,-0.7746307438855358,0.8333184590970437,-19.217593506748504,-0.6485701107549657,1.111080257115948,1.7931550386017028,7.724444640371185,-8.531376230254041,0.49930470301541396,-1.7009136009315102,1.644267408962393,-3.192572513493034
57,60,0.05999999865889549,3137.919189453125,125.89300537109375,0.23000000417232513,13.800000190734863,3.0515123916710944,-0.4038716548814355,0.557222642336644,-19.383500329809348,-0.4244897986625739,0.8149785236776884,1.6214297626322816,7.912004115607472,-8.517277211311214,0.22648977868890113,-1.7152496690947625,1.298881142371671,-2.563340117866752
58,61,0.061000000685453415,3200.793212890625,124.63700103759766,0.12999999523162842,13.789999961853027,2.893361972296798,0.015945005134402224,-0.002625045698849054,-19.680124918526573,-0.05633744827481939,0.2766031432647215,1.5516395989061598,8.095451638517666,-8.508691617367411,-0.27855014045001586,-1.760251426551395,0.7518131575634962,-1.6018941747735906
59,62,0.06199999898672104,3237.011962890625,130.88999938964844,0.10000000149011612,13.710000038146973,2.437412500498298,0.697914697038355,-1.109122357697442,-20.19032857307677,0.6069751212162954,-0.8545779733429506,1.7736336140107647,8.650438336447094,-8.322907612468033,-1.0182780662917972,-1.8705973660449045,-0.210163618224853,0.23637200785230822
60,63,0.06300000101327896,3233.970947265625,124.29200744628906,0.10000000149011612,13.520000457763672,2.4064647296081207,1.1191633644220227,-1.5135579313276482,-20.279299570466154,0.7145193617991514,-1.2516741043093627,1.2967766839988375,8.692625806016533,-8.144806968985952,-1.380154825499128,-1.6427539071887631,-0.7646433239198024,1.2344693312654016
61,64,0.06400000303983688,3234.5224609375,126.83000946044922,0.17000000178813934,13.180000305175781,3.3253506502466093,0.5222559051201967,-0.46181176372274596,-20.12726499598002,0.1683355504550232,-0.0027812036522103004,0.31509900569737836,7.634155115858897,-8.729120244299496,-1.205599219469249,-1.3019717707832819,-0.16540215885394857,-0.23501841691483513
