# x_path held_b1_THz held_b2_THz held_b3_THz
0.0000000000 -0.0000000517 0.0000000900 0.0000001389
0.0410665829 0.2865831936 0.2865831936 0.5109192346
0.0821331658 0.5724047828 0.5724047828 1.0202321585
0.1231997488 0.8567127897 0.8567127897 1.5263433622
0.1642663317 1.1387744074 1.1387744074 2.0276791710
0.2053329146 1.4178853789 1.4178853789 2.5226983433
0.2463994975 1.6933791261 1.6933791261 3.0099025657
0.2874660805 1.9646355360 1.9646355360 3.4878466787
0.3285326634 2.2310893126 2.2310893126 3.9551485672
0.3695992463 2.4922377903 2.4922377903 4.4104986484
0.4106658292 2.7476481021 2.7476481021 4.8526688948
0.4517324121 2.9969635841 2.9969635841 5.2805213256
0.4927989951 3.2399092926 3.2399092926 5.6930159052
0.5338655780 3.4762965006 3.4762965006 6.0892177855
0.5749321609 3.7060260324 3.7060260324 6.4683038284
0.6159987438 3.9290902927 3.9290902927 6.8295683502
0.6570653268 4.1455738441 4.1455738441 7.1724280226
0.6981319097 4.3556523913 4.3556523913 7.4964258724
0.7391984926 4.5595900398 4.5595900398 7.8012343168
0.7802650755 4.7577347214 4.7577347214 8.0866571737
0.8213316584 4.9505117033 4.9505117033 8.3526305864
0.8623982414 5.1384151451 5.1384151451 8.5992228019
0.9034648243 5.3219977228 5.3219977228 8.8266327427
0.9445314072 5.5018584039 5.5018584039 9.0351873159
0.9855979901 5.6786285398 5.6786285398 9.2253374040
1.0266645730 5.8529565252 5.8529565252 9.3976524910
1.0677311560 6.0254913605 6.0254913605 9.5528138823
1.1087977389 6.1968655374 6.1968655374 9.6916064928
1.1498643218 6.3676777350 6.3676777350 9.8149091921
1.1909309047 6.5384758637 6.5384758637 9.9236837200
1.2319974877 6.7097410143 6.7097410143 10.0189622134
1.2730640706 6.8818728602 6.8818728602 10.1018334247
1.3141306535 7.0551770148 7.0551770148 10.1734277503
1.3551972364 7.2298547689 7.2298547689 10.2349012435
1.3962638193 7.4059955305 7.4059955305 10.2874188380
1.4373304023 7.5835721671 7.5835721671 10.3321370666
1.4783969852 7.7624393222 7.7624393222 10.3701866209
1.5194635681 7.9423346484 7.9423346484 10.4026551485
1.5605301510 8.1228827884 8.1228827884 10.4305707303
1.6015967340 8.3036018398 8.3036018398 10.4548865094
1.6426633169 8.4839119696 8.4839119696 10.4764669499
1.6837298998 8.6631458024 8.6631458024 10.4960761912
1.7247964827 8.8405601897 8.8405601897 10.5143689160
1.7658630656 9.0153489704 9.0153489704 10.5318840815
1.8069296486 9.1866563567 9.1866563567 10.5490417655
1.8479962315 9.3535906142 9.3535906142 10.5661432610
1.8890628144 9.5152377451 9.5152377451 10.5833744240
1.9301293973 9.6706749320 9.6706749320 10.6008121443
1.9711959803 9.8189835416 9.8189835416 10.6184336820
2.0122625632 9.9592615296 9.9592615296 10.6361284967
2.0533291461 10.0906351280 10.0906351280 10.6537121069
2.0943957290 10.2122697228 10.2122697228 10.6709414522
2.1354623119 10.3233798601 10.3233798601 10.6875311930
2.1765288949 10.4232383384 10.4232383384 10.7031703760
2.2175954778 10.5111843587 10.5111843587 10.7175389105
2.2586620607 10.5866307183 10.5866307183 10.7303233356
2.2997286436 10.6490700406 10.6490700406 10.7412314138
2.3407952266 10.6980800399 10.6980800399 10.7500051437
2.3818618095 10.7333278217 10.7333278217 10.7564318539
2.4229283924 10.7545732226 10.7545732226 10.7603531050
2.4639949753 10.7616711925 10.7616711925 10.7616711925
2.4930334346 10.7581211379 10.7588504649 10.7602833674
2.5220718938 10.7474824195 10.7504383427 10.7561044128
2.5511103531 10.7297893403 10.7365847355 10.7490880691
2.5801488124 10.7050989614 10.7175385749 10.7391578304
2.6091872716 10.6734909352 10.6936463934 10.7262078232
2.6382257309 10.6350672734 10.6653502456 10.7101040161
2.6672641902 10.5899520468 10.6331848863 10.6906857398
2.6963026494 10.5382910197 10.5977740963 10.6677674928
2.7253411087 10.4802512157 10.5598260285 10.6411410035
2.7543795680 10.4160204177 10.5201274343 10.6105775178
2.7834180272 10.3458065993 10.4795366216 10.5758302776
2.8124564865 10.2698372881 10.4389750011 10.5366371559
2.8414949458 10.1883588615 10.3994170919 10.4927234114
2.8705334050 10.1016357719 10.3618788884 10.4438045299
2.8995718643 10.0099497034 10.3274045417 10.3895891168
2.9286103235 9.9135986568 10.2970513768 10.3297818094
2.9576487828 9.8128959643 10.2640861790 10.2718733569
2.9866872421 9.7081692313 10.1922075962 10.2529032130
3.0157257013 9.5997592049 10.1138560353 10.2411335757
3.0447641606 9.4880185694 10.0287487968 10.2374975659
3.0738026199 9.3733106663 9.9366131300 10.2428494150
3.1028410791 9.2560081395 9.8371887428 10.2579457738
3.1318795384 9.1364915060 9.7302301868 10.2834284205
3.1609179977 9.0151476514 9.6155091095 10.3198090816
3.1899564569 8.8923682523 9.4928163705 10.3674570259
3.2189949162 8.7685481276 9.3619640186 10.4265899787
3.2480333755 8.6440835224 9.2227871323 10.4972687436
3.2770718347 8.5193703286 9.0751455273 10.5793957216
3.3061102940 8.3948022505 8.9189253400 10.6727173027
3.3351487532 8.2707689235 8.7540404968 10.7768299001
3.3641872125 8.1476539983 8.5804340836 10.8911892155
3.3932256718 8.0258332046 8.3980796375 11.0151221884
3.4222641310 7.9056724125 8.2069823812 11.1478409975
3.4513025903 7.7875257138 8.0071804342 11.2884584542
3.4803410496 7.6717335459 7.7987460392 11.4360041450
3.5093795088 7.5586208880 7.5817868545 11.5894407442
3.5384179681 7.3564473785 7.4484955607 11.7476800026
3.5674564274 7.1229105910 7.3416466617 11.9095980216
3.5964948866 6.8813999277 7.2383431738 12.0740495261
3.6255333459 6.6321817392 7.1388327821 12.2398809516
3.6545718052 6.3755684443 7.0433409345 12.4059422450
3.6836102644 6.1119226659 6.9520701791 12.5710973537
3.7126487237 5.8416627555 6.8651998100 12.7342334299
3.7416871829 5.5652702796 6.7828858413 12.8942688201
3.7707256422 5.2833002990 6.7052613293 13.0501599331
3.7997641015 4.9963956567 6.6324370472 13.2009070953
3.8288025607 4.7053070789 6.5645025089 13.3455595065
3.8578410200 4.4109218107 6.5015273278 13.4832194098
3.8868794793 4.1143049449 6.4435628821 13.6130455810
3.9159179385 3.8167598588 6.3906442483 13.7342562355
3.9449563978 3.5199177286 6.3427923522 13.8461314397
3.9739948571 3.2258715417 6.3000162792 13.9480151049
4.0030333163 2.9373779166 6.2623156743 14.0393166268
4.0320717756 2.6581596556 6.2296831623 14.1195122293
4.0611102349 2.3933473292 6.2021067098 14.1881460565
4.0901486941 2.1500763787 6.1795718568 14.2448310532
4.1191871534 1.9381412544 6.1620637445 14.2892496631
4.1482256126 1.7702706160 6.1495688740 14.3211543697
4.1772640719 1.6609851596 6.1420765380 14.3403680991
4.2063025312 1.6228466471 6.1395798789 14.3467844986
4.2353409904 1.6236925725 6.1387184135 14.3427154091
4.2643794497 1.6262138986 6.1361254442 14.3305054066
4.2934179090 1.6303616931 6.1317753480 14.3101463310
4.3224563682 1.6360557664 6.1256257423 14.2816247202
4.3514948275 1.6431866348 6.1176179623 14.2449220163
4.3805332868 1.6516181081 6.1076777185 14.2000148509
4.4095717460 1.6611903638 6.0957159225 14.1468754077
4.4386102053 1.6717233554 6.0816296691 14.0854718589
4.4676486646 1.6830204007 6.0653033576 14.0157688713
4.4966871238 1.6948718090 6.0466099369 13.9377281769
4.5257255831 1.7070584240 6.0254122540 13.8513092039
4.5547640423 1.7193549848 6.0015644893 13.7564697620
