iteration,time_ps,negative_q_branch_count,negative_qpoint_count,branch_1_count,branch_2_count,branch_3_count,path_integral_negative_indicator,path_integrated_negative_fraction,path_integral_absolute_imaginary_frequency_THz
1,0.0010000000,40,40,40,0,0,1.1800454551,0.0378979308,7.9343948818
2,0.0020000001,126,115,115,11,0,4.0022430350,0.1285346501,22.4098711051
3,0.0030000000,97,97,97,0,0,2.9676938943,0.0953094285,18.0208750520
4,0.0040000002,195,151,151,44,0,6.4886770240,0.2083881023,32.3223962364
5,0.0049999999,172,137,137,35,0,5.6709160762,0.1821251751,23.3551410935
6,0.0060000001,179,141,141,38,0,5.9172054054,0.1900349178,26.2913691825
7,0.0070000002,148,123,123,25,0,4.8103935338,0.1544889314,19.2999682255
8,0.0080000004,165,132,132,33,0,5.4246267469,0.1742154324,22.4529507463
9,0.0089999996,134,114,114,20,0,4.3111846461,0.1384565118,16.8782840655
10,0.0099999998,151,123,123,28,0,4.9254178593,0.1581830128,18.6144653125
11,0.0109999999,121,106,106,15,0,3.8481071240,0.1235844746,14.5857314880
12,0.0120000001,138,114,114,24,0,4.4689705663,0.1435239097,15.9037244599
13,0.0130000003,85,85,85,0,0,2.5606384250,0.0822365761,11.8901167346
14,0.0140000004,120,103,103,17,0,3.8252362167,0.1228499605,12.2645107176
15,0.0149999997,75,75,75,0,0,2.2125852284,0.0710586203,9.7308204716
16,0.0160000008,75,75,75,0,0,2.2125852284,0.0710586203,9.3968363492
17,0.0170000009,73,73,73,0,0,2.1535829556,0.0691637238,7.9711768652
18,0.0179999992,73,73,73,0,0,2.1535829556,0.0691637238,7.8473378942
19,0.0189999994,71,71,71,0,0,2.0945806829,0.0672688272,6.4232485783
20,0.0199999996,70,70,70,0,0,2.0650795465,0.0663213789,6.1096082085
21,0.0209999997,68,68,68,0,0,2.0060772737,0.0644264824,4.6256861567
22,0.0219999999,68,68,68,0,0,2.0060772737,0.0644264824,4.8657452968
23,0.0230000000,65,65,65,0,0,1.9175738646,0.0615841376,2.9975977113
24,0.0240000002,65,65,65,0,0,1.9175738646,0.0615841376,2.9563442616
25,0.0250000004,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
26,0.0260000005,62,62,62,0,0,1.8290704554,0.0587417928,1.1534347766
27,0.0270000007,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
