iteration,temperature_K,negative_q_branch_count
1,5000.00000000,40
2,4970.97314453,126
3,4912.12597656,97
4,4830.21630859,195
5,4731.78417969,172
6,4619.10742188,179
7,4482.94384766,148
8,4325.97998047,165
9,4153.81542969,134
10,3970.80859375,151
11,3780.84985352,121
12,3590.50097656,138
13,3405.31103516,85
14,3228.47192383,120
15,3064.37158203,75
16,2919.59985352,75
17,2796.59033203,73
18,2698.25195312,73
19,2628.24218750,71
20,2587.87377930,70
21,2575.56225586,68
22,2590.42529297,68
23,2633.72656250,65
24,2701.13964844,65
25,2786.64697266,0
26,2886.23217773,62
27,2998.43139648,0
28,3118.74584961,0
29,3239.70483398,0
30,3357.26953125,0
31,3471.37573242,0
32,3578.79174805,0
33,3674.82055664,0
34,3757.94799805,0
35,3828.45776367,0
36,3885.45336914,0
37,3930.42114258,0
38,3963.67968750,0
39,3984.24731445,0
40,3994.09228516,0
41,3992.29711914,0
42,3983.95410156,0
43,3976.82128906,0
44,3971.87304688,0
45,3972.36743164,0
46,3980.90161133,0
47,3998.77758789,0
48,4028.46484375,0
49,4070.33911133,0
50,4125.19335938,0
51,4194.81298828,0
52,4278.32177734,0
53,4371.28320312,0
54,4469.64062500,0
55,4567.87207031,0
56,4667.43994141,0
57,4765.65576172,0
58,4858.23193359,0
59,4951.01025391,0
60,5043.71728516,0
61,5132.90917969,0
62,5214.84863281,0
63,5290.35839844,0
64,5362.60693359,0
65,5425.51220703,1
66,5478.80322266,8
67,5534.17089844,14
68,5593.22998047,18
69,5651.59179688,21
70,5707.73779297,22
71,5764.27343750,23
72,5822.24804688,22
73,5879.01611328,24
74,5932.60351562,21
75,5983.74707031,21
76,6033.42822266,21
77,6079.59472656,20
78,6119.97998047,20
79,6158.92773438,18
80,6198.72167969,16
81,6236.51220703,14
82,6271.10156250,12
83,6303.12792969,8
84,6338.02441406,6
85,6375.84277344,0
86,6413.12792969,0
87,6460.62646484,0
88,6517.70556641,0
89,6572.38183594,0
90,6623.60107422,5
91,6675.40820312,4
92,6725.56738281,8
93,6767.51464844,7
94,6797.02099609,11
95,6814.44580078,9
96,6817.70458984,12
97,6800.06201172,11
98,6760.10791016,12
99,6701.24023438,12
100,6629.96679688,13
101,6548.98437500,10
102,6462.28808594,11
103,6378.58837891,5
104,6308.47753906,3
105,6261.84423828,0
106,6242.48681641,0
107,6254.79687500,0
108,6300.55566406,0
109,6374.22802734,0
110,6472.05273438,0
111,6592.14990234,0
112,6726.89599609,0
113,6867.90625000,0
114,7006.96240234,0
115,7130.77636719,0
116,7237.48779297,0
117,7311.94824219,0
118,7354.95068359,0
119,7360.02832031,0
120,7350.31982422,0
121,7327.39453125,0
122,7275.25878906,0
123,7189.35839844,0
124,7077.09423828,0
125,6948.03369141,0
126,6802.62597656,0
127,6639.34130859,0
128,6467.73828125,0
129,6296.48779297,4
130,6124.55810547,9
131,5954.03613281,11
132,5796.19189453,11
133,5657.57177734,10
134,5537.01464844,8
135,5436.79882812,6
136,5363.03906250,0
137,5317.28466797,0
138,5298.27636719,0
139,5303.89257812,0
140,5332.54638672,0
141,5382.06347656,0
142,5446.43359375,0
143,5522.54589844,0
144,5606.12939453,0
145,5687.27441406,3
146,5759.13964844,6
147,5818.49169922,9
148,5856.97460938,10
149,5870.82910156,12
150,5864.07080078,12
151,5837.95458984,13
152,5789.44287109,13
153,5720.31396484,14
154,5642.06298828,12
155,5555.77294922,11
156,5459.26171875,8
157,5357.20263672,5
158,5253.82958984,0
159,5152.00048828,0
160,5055.00976562,19
161,4963.96533203,21
162,4881.35009766,31
163,4807.41503906,32
164,4743.06884766,40
165,4689.15429688,43
166,4642.94042969,52
167,4605.08349609,61
168,4576.80761719,64
169,4556.59619141,64
170,4538.37011719,65
171,4521.60449219,65
172,4508.72167969,66
173,4498.00830078,66
174,4487.43945312,66
175,4475.77929688,66
176,4461.17822266,66
177,4442.14208984,66
178,4422.62207031,66
179,4401.54833984,65
180,4374.56347656,65
181,4343.82128906,65
182,4311.96142578,65
183,4278.98193359,65
184,4243.75683594,71
185,4206.13867188,73
186,4165.52050781,76
187,4124.29931641,78
188,4084.27514648,80
189,4044.41699219,80
190,4005.46850586,82
191,3967.71972656,82
192,3931.55322266,84
193,3896.39770508,83
194,3865.44238281,83
195,3838.41992188,81
196,3812.43994141,81
197,3789.90478516,79
198,3774.31787109,73
199,3767.94580078,62
200,3771.03540039,62
201,3783.25512695,56
202,3805.17163086,48
203,3836.35180664,42
204,3876.78881836,39
205,3925.81372070,36
206,3980.54809570,46
207,4040.16796875,47
208,4104.91845703,51
209,4173.13183594,51
210,4241.60009766,53
211,4309.13037109,52
212,4377.00390625,60
213,4443.39013672,60
214,4505.59863281,62
215,4561.14404297,62
216,4608.84912109,66
217,4648.46728516,68
218,4677.04052734,77
219,4693.51806641,88
220,4700.59521484,88
221,4698.35449219,86
222,4686.97460938,81
223,4667.13134766,74
224,4639.32128906,75
225,4604.33496094,71
226,4563.57617188,58
227,4518.78320312,51
228,4470.35351562,49
229,4419.39892578,46
230,4368.18066406,43
231,4318.22753906,39
232,4270.78613281,35
233,4225.46142578,33
234,4182.36816406,27
235,4142.46289062,0
236,4105.23291016,26
237,4071.35205078,28
238,4040.65332031,31
239,4012.20556641,31
240,3985.15161133,36
241,3961.32080078,38
242,3942.96289062,45
243,3928.65283203,45
244,3918.08935547,47
245,3911.33911133,45
246,3909.60205078,47
247,3912.47265625,47
248,3918.80175781,47
249,3929.77563477,45
250,3944.79321289,45
251,3962.71899414,40
252,3983.87646484,40
253,4008.25390625,31
254,4033.46850586,31
255,4057.93969727,30
256,4084.63549805,30
257,4112.27929688,29
258,4137.03125000,28
259,4159.12695312,28
260,4175.37548828,27
261,4188.69482422,26
262,4203.20507812,25
263,4220.18261719,24
264,4244.29443359,31
265,4276.57226562,28
266,4316.46972656,31
267,4365.26367188,28
268,4420.96826172,27
269,4487.00390625,18
270,4566.43554688,17
271,4657.83349609,15
272,4763.12548828,16
273,4877.22460938,14
274,4994.64648438,15
275,5110.74218750,13
276,5221.17138672,14
277,5323.64257812,13
278,5412.48388672,15
279,5482.90673828,13
280,5537.22558594,15
281,5575.76660156,14
282,5594.66406250,16
283,5593.05029297,15
284,5573.64501953,17
285,5540.02978516,16
286,5495.77343750,18
287,5442.76416016,18
288,5381.71533203,19
289,5315.19482422,19
290,5248.04052734,29
291,5183.32031250,34
292,5117.50439453,51
293,5054.62353516,68
294,5004.02490234,87
295,4965.84912109,91
296,4936.94140625,101
297,4916.68066406,100
298,4911.28466797,104
299,4920.98095703,102
300,4943.16699219,103
301,4980.11474609,94
302,5031.49902344,91
303,5096.90527344,64
304,5178.95996094,58
305,5277.64794922,31
306,5386.80371094,0
307,5501.06933594,0
308,5620.95947266,0
309,5742.43798828,0
310,5853.62939453,0
311,5948.68701172,0
312,6028.60351562,0
313,6090.49755859,0
314,6129.41650391,16
315,6142.94482422,18
316,6133.92089844,36
317,6104.20751953,62
318,6054.24365234,75
319,5986.16601562,76
320,5906.85595703,80
321,5820.72070312,81
322,5731.18896484,82
323,5644.35498047,84
324,5566.41210938,83
325,5503.82080078,92
326,5459.03808594,107
327,5434.91503906,115
328,5437.58056641,122
329,5466.99755859,126
330,5519.45312500,129
331,5591.16894531,135
332,5679.49072266,140
333,5778.51464844,144
334,5879.29443359,146
335,5973.86914062,149
336,6054.89208984,152
337,6116.97607422,153
338,6161.16015625,156
339,6187.01220703,166
340,6188.91210938,127
341,6169.13134766,118
342,6139.68750000,58
343,6107.24169922,45
344,6069.83398438,41
345,6031.75146484,39
346,6003.85400391,37
347,5988.40625000,36
348,5980.79296875,35
349,5979.72998047,34
350,5985.48046875,33
351,5993.87597656,32
352,5999.79492188,36
353,5999.90332031,39
354,5987.80468750,40
355,5959.25683594,39
356,5911.37255859,39
357,5843.74853516,38
358,5759.08496094,36
359,5658.45947266,34
360,5545.89990234,24
361,5427.09863281,20
362,5308.53613281,20
363,5197.56103516,20
364,5100.85644531,20
365,5022.47802734,21
366,4965.45556641,21
367,4931.72070312,21
368,4918.74218750,21
369,4928.39404297,20
370,4946.08007812,20
371,4962.06494141,19
372,4995.76318359,18
373,5048.71289062,18
374,5101.33740234,16
375,5145.25585938,14
376,5189.70605469,12
377,5235.30761719,10
378,5272.33935547,3
379,5298.41210938,0
380,5319.79443359,0
381,5338.62109375,0
382,5348.68261719,0
383,5348.01953125,29
384,5341.52001953,47
385,5331.29248047,52
386,5313.41552734,59
387,5287.72363281,60
388,5259.34716797,76
389,5226.83447266,81
390,5184.46093750,85
391,5136.56738281,85
392,5084.26269531,87
393,5028.36425781,86
394,4973.13574219,86
395,4919.16552734,85
396,4867.70947266,80
397,4817.46044922,80
398,4770.26757812,72
399,4726.91015625,69
