q_index,x_path,negative_frame_count,negative_frame_fraction,mean_negative_frequency_THz,minimum_frequency_THz
0,0.0000000000,0,0.0000000000,nan,-0.0000002515
1,0.0417209072,48,0.1203007519,-0.1197176528,-0.1712377511
2,0.0834418143,48,0.1203007519,-0.2363703469,-0.3403706212
3,0.1251627215,46,0.1152882206,-0.3620279838,-0.5052889953
4,0.1668836287,46,0.1152882206,-0.4703664350,-0.6638726100
5,0.2086045359,46,0.1152882206,-0.5673710200,-0.8139821086
6,0.2503254430,46,0.1152882206,-0.6478501039,-0.9534463315
7,0.2920463502,43,0.1077694236,-0.7590601698,-1.0800428968
8,0.3337672574,43,0.1077694236,-0.8087022313,-1.1914683811
9,0.3754881645,42,0.1052631579,-0.8492737715,-1.2852921790
10,0.4172090717,38,0.0952380952,-0.9159533307,-1.3588840012
11,0.4589299789,34,0.0852130326,-0.9674095069,-1.4092969548
12,0.5006508861,32,0.0802005013,-0.9534318659,-1.4330714762
13,0.5423717932,26,0.0651629073,-0.9745278269,-1.4258876174
14,0.5840927004,21,0.0526315789,-1.0088251954,-1.3818976355
15,0.6258136076,19,0.0476190476,-0.8928747487,-1.2922899275
16,0.6675345147,14,0.0350877193,-0.7828170596,-1.1416075934
17,0.7092554219,7,0.0175438596,-0.7288158415,-0.8956017226
18,0.7509763291,3,0.0075187970,-0.4204077460,-0.4359374953
19,0.7926972363,0,0.0000000000,nan,0.7277058690
20,0.8344181434,0,0.0000000000,nan,1.0931079155
21,0.8761390506,0,0.0000000000,nan,1.2293909143
22,0.9178599578,0,0.0000000000,nan,1.3876402045
23,0.9595808649,0,0.0000000000,nan,1.5672168377
24,1.0013017721,0,0.0000000000,nan,1.7671893970
25,1.0430226793,0,0.0000000000,nan,1.9864686113
26,1.0847435865,0,0.0000000000,nan,2.2230946504
27,1.1264644936,0,0.0000000000,nan,2.4751829495
28,1.1681854008,0,0.0000000000,nan,2.7428696869
29,1.2099063080,0,0.0000000000,nan,3.0248634996
30,1.2516272151,0,0.0000000000,nan,3.3198331869
31,1.2933481223,0,0.0000000000,nan,3.6264060610
32,1.3350690295,0,0.0000000000,nan,3.8492208093
33,1.3767899367,0,0.0000000000,nan,4.0341272867
34,1.4185108438,0,0.0000000000,nan,4.2242501577
35,1.4602317510,0,0.0000000000,nan,4.4188277469
36,1.5019526582,0,0.0000000000,nan,4.6170175409
37,1.5436735653,0,0.0000000000,nan,4.8179097171
38,1.5853944725,0,0.0000000000,nan,5.0094225330
39,1.6271153797,0,0.0000000000,nan,5.1859986633
40,1.6688362869,0,0.0000000000,nan,5.2620818763
41,1.7105571940,0,0.0000000000,nan,5.2206991861
42,1.7522781012,0,0.0000000000,nan,5.0338010067
43,1.7939990084,0,0.0000000000,nan,4.8881999930
44,1.8357199155,0,0.0000000000,nan,4.7870935613
45,1.8774408227,0,0.0000000000,nan,4.7212019866
46,1.9191617299,0,0.0000000000,nan,4.6364366336
47,1.9608826371,0,0.0000000000,nan,4.4558295302
48,2.0026035442,0,0.0000000000,nan,4.2902997903
49,2.0443244514,0,0.0000000000,nan,4.1378518344
50,2.0860453586,0,0.0000000000,nan,3.9759105430
51,2.1277662657,0,0.0000000000,nan,3.8205268855
52,2.1694871729,0,0.0000000000,nan,3.6518964821
53,2.2112080801,0,0.0000000000,nan,3.5040973646
54,2.2529289873,0,0.0000000000,nan,3.3773196049
55,2.2946498944,0,0.0000000000,nan,3.2338964924
56,2.3363708016,0,0.0000000000,nan,3.1143688197
57,2.3780917088,0,0.0000000000,nan,3.0201611713
58,2.4198126159,0,0.0000000000,nan,2.9521816887
59,2.4615335231,0,0.0000000000,nan,2.9111112970
60,2.5032544303,0,0.0000000000,nan,2.8973732527
61,2.5327555667,0,0.0000000000,nan,2.8973641324
62,2.5622567030,0,0.0000000000,nan,2.8973235105
63,2.5917578394,0,0.0000000000,nan,2.8972117839
64,2.6212589758,0,0.0000000000,nan,2.8969635400
65,2.6507601122,0,0.0000000000,nan,2.8964884254
66,2.6802612486,0,0.0000000000,nan,2.8956723188
67,2.7097623849,0,0.0000000000,nan,2.8943787721
68,2.7392635213,0,0.0000000000,nan,2.8924506712
69,2.7687646577,0,0.0000000000,nan,2.8897120660
70,2.7982657941,0,0.0000000000,nan,2.8859701150
71,2.8277669304,0,0.0000000000,nan,2.8810170896
72,2.8572680668,0,0.0000000000,nan,2.8746323820
73,2.8867692032,0,0.0000000000,nan,2.8665844667
74,2.9162703396,0,0.0000000000,nan,2.8566327634
75,2.9457714760,0,0.0000000000,nan,2.8445293571
76,2.9752726123,0,0.0000000000,nan,2.8300205294
77,3.0047737487,0,0.0000000000,nan,2.8128480610
78,3.0342748851,0,0.0000000000,nan,2.7927502600
79,3.0637760215,0,0.0000000000,nan,2.7694626742
80,3.0932771579,0,0.0000000000,nan,2.7427184339
81,3.1227782942,0,0.0000000000,nan,2.7122481653
82,3.1522794306,0,0.0000000000,nan,2.6777793971
83,3.1817805670,0,0.0000000000,nan,2.6390353569
84,3.2112817034,0,0.0000000000,nan,2.5957330200
85,3.2407828397,0,0.0000000000,nan,2.5475802164
86,3.2702839761,0,0.0000000000,nan,2.4942715209
87,3.2997851125,0,0.0000000000,nan,2.4354825314
88,3.3292862489,0,0.0000000000,nan,2.3708619491
89,3.3587873853,0,0.0000000000,nan,2.3000205778
90,3.3882885216,0,0.0000000000,nan,2.2225158775
91,3.4177896580,0,0.0000000000,nan,2.1378298907
92,3.4472907944,0,0.0000000000,nan,2.0453369427
93,3.4767919308,0,0.0000000000,nan,1.9442549084
94,3.5062930671,0,0.0000000000,nan,1.8335687981
95,3.5357942035,0,0.0000000000,nan,1.7119049817
96,3.5652953399,1,0.0025062657,-2.2375619470,-2.2375619470
97,3.5947964763,3,0.0075187970,-2.2271352285,-3.6234779522
98,3.6242976127,4,0.0100250627,-3.4579462913,-4.6186764194
99,3.6537987490,7,0.0175438596,-3.6051752808,-5.4384202735
100,3.6832998854,9,0.0225563910,-3.9690593740,-6.1500133051
101,3.7128010218,10,0.0250626566,-4.4799510387,-6.7845341009
102,3.7423021582,12,0.0300751880,-4.6757221173,-7.3590812132
103,3.7718032946,15,0.0375939850,-4.4097299034,-7.8840607859
104,3.8013044309,16,0.0401002506,-4.8942488351,-8.3662283980
105,3.8308055673,25,0.0626566416,-3.8278144707,-8.8101649085
106,3.8603067037,29,0.0726817043,-3.9237892731,-9.2190712425
107,3.8898078401,35,0.0877192982,-3.7695127126,-9.5952307583
108,3.9193089764,37,0.0927318296,-4.0059970695,-9.9402947668
109,3.9488101128,41,0.1027568922,-4.0084870038,-10.2554674277
