frame_index,iteration,time_ps,temperature_K,pressure_GPa,mag_total_Bohr,abs_mag_total_Bohr,b000,b001,b002,b003,b004,b005,b006,b007,b008,b009,b010,b011,b012
0,1,0.0010000000474974513,5000.0,138.83700561523438,nan,nan,1.923214356779214,2.069234409523691,-3.165907937064384,-0.3997322433498261,-2.1282190223691573,9.708769929606598,2.1964546469710773,2.6974880788767757,-1.1350631875661605,2.133085056584769,-3.3561086877269193,2.1093783733942777,36.02884123923255
1,2,0.0020000000949949026,4970.97314453125,138.46800231933594,nan,nan,0.2897749578564852,2.8444230621298185,-2.8559964052437605,0.06944441858620408,-1.481885926004855,8.334795528045458,1.952483802812295,1.1930704785379276,-0.02724085846518419,0.25072862313636396,-2.808006865300701,2.041124141521581,35.23612748284695
2,3,0.003000000026077032,4912.1259765625,139.29000854492188,nan,nan,0.4184971307426148,2.29776596077878,-2.7389971539398315,-0.28675060635830874,-1.5181641854828054,8.843504451961236,1.8800523614975269,1.506000665904876,-0.14428598667808937,0.5741179611372718,-2.735007785543615,2.073495679345043,35.11084357928875
3,4,0.004000000189989805,4830.21630859375,140.5120086669922,nan,nan,-0.14842815593346306,2.418194456653903,-2.458819226078642,-0.10809933225492005,-1.1489192810859066,8.386175151182076,1.6939836128265828,1.056645196128323,0.25927533648657697,-0.2845254297797319,-2.380549940252032,2.0948871046288784,34.84945239589907
4,5,0.004999999888241291,4731.7841796875,141.13800048828125,nan,nan,-0.11264696522346666,1.7717870383695904,-2.257526091647323,-0.44422764267100834,-1.2516434902899587,8.75866345522162,1.5078281940652543,1.296465302449924,0.11895014117349385,-0.05896312719122624,-2.2414636180310734,2.0834817214262484,34.38550032732739
5,6,0.006000000052154064,4619.107421875,142.53599548339844,nan,nan,-0.3302589161452966,1.2426535153195366,-1.9939701535370153,-0.448849578596074,-1.1357454244819336,8.786360009867334,1.279474411621459,1.2679856507794642,0.17764357342772055,-0.2832423471481249,-1.9908856567695759,2.0429432457459917,34.040476274410985
6,7,0.007000000216066837,4482.94384765625,143.90699768066406,nan,nan,-0.2674249345837703,0.4399119997501977,-1.7340352572346376,-0.6173875813348184,-1.1727611393831021,9.022662883037045,1.0505232730265324,1.466633854091646,0.056357164699040535,-0.16240656368023126,-1.8405090072838846,2.0158123875295026,33.60087100489079
7,8,0.00800000037997961,4325.97998046875,145.6420135498047,nan,nan,-0.4614250089846947,-0.22456163123953754,-1.4572799979975557,-0.5556056673022021,-1.10335002452076,8.98764615482024,0.8020311592555378,1.403317436833676,0.11135895743429707,-0.3760058879710065,-1.6172982693770281,1.9571577705643342,33.349693098144954
8,9,0.008999999612569809,4153.8154296875,146.99301147460938,nan,nan,-0.4221319569329634,-1.0058422061622574,-1.2100162319187602,-0.6679230055613037,-1.1400992383787187,9.151784297396967,0.5758662286064017,1.549744999750182,0.033972203474302874,-0.25708942110580146,-1.4556069584492883,1.903216383718446,32.789600326819404
9,10,0.009999999776482582,3970.80859375,149.1009979248047,nan,nan,-0.5690287723879652,-1.715281202921222,-0.9934677303537248,-0.5870730188520259,-1.1090845634693443,9.137116763561172,0.3567756311364904,1.478532138359154,0.07848787414993422,-0.40772993797787194,-1.2811564462325293,1.807598750749087,32.58647721302677
