# x_path held_b1_THz held_b2_THz held_b3_THz
0.0000000000 -0.0000001944 0.0000001561 0.0000001794
0.0349065850 0.5763757428 0.5847698380 0.5847698380
0.0698131701 1.1523246730 1.1674442501 1.1674442501
0.1047197551 1.7274195161 1.7459443067 1.7459443067
0.1396263402 2.3012320947 2.3182239825 2.3182239825
0.1745329252 2.8733329291 2.8822863829 2.8822863829
0.2094395102 3.4361997027 3.4361997027 3.4432908981
0.2443460953 3.9781128239 3.9781128239 4.0106729799
0.2792526803 4.5062704635 4.5062704635 4.5750440885
0.3141592654 5.0190277785 5.0190277785 5.1359670213
0.3490658504 5.5148643352 5.5148643352 5.6930025298
0.3839724354 5.9923973463 5.9923973463 6.2457095253
0.4188790205 6.4503940787 6.4503940787 6.7936454239
0.4537856055 6.8877833247 6.8877833247 7.3363666392
0.4886921906 7.3036658316 7.3036658316 7.8734292213
0.5235987756 7.6973235669 7.6973235669 8.4043896424
0.5585053606 8.0682276958 8.0682276958 8.9288057251
0.5934119457 8.4160451282 8.4160451282 9.4462377047
0.6283185307 8.7406434823 8.7406434823 9.9562494169
0.6632251158 9.0420942937 9.0420942937 10.4584095982
0.6981317008 9.3206742822 9.3206742822 10.9522932830
0.7330382858 9.5768644689 9.5768644689 11.4374832815
0.7679448709 9.8113469194 9.8113469194 11.9135717178
0.8028514559 10.0249988757 10.0249988757 12.3801616089
0.8377580410 10.2188840308 10.2188840308 12.8368684602
0.8726646260 10.3942407023 10.3942407023 13.2833218571
0.9075712110 10.5524666840 10.5524666840 13.7191670258
0.9424777961 10.6951005881 10.6951005881 14.1440663417
0.9773843811 10.8237995652 10.8237995652 14.5577007594
1.0122909662 10.9403133846 10.9403133846 14.9597711411
1.0471975512 11.0464549962 11.0464549962 15.3499994616
1.0821041362 11.1440678718 11.1440678718 15.7281298662
1.1170107213 11.2349906273 11.2349906273 16.0939295625
1.1519173063 11.3210196649 11.3210196649 16.4471895275
1.1868238914 11.4038708076 11.4038708076 16.7877250135
1.2217304764 11.4851411239 11.4851411239 17.1153758392
1.2566370614 11.5662723170 11.5662723170 17.4300064548
1.2915436465 11.6485171554 11.6485171554 17.7315057736
1.3264502315 11.7329104268 11.7329104268 18.0197867650
1.3613568166 11.8202457830 11.8202457830 18.2947858074
1.3962634016 11.9110596129 11.9110596129 18.5564618043
1.4311699866 12.0056227423 12.0056227423 18.8047950684
1.4660765717 12.1039403448 12.1039403448 19.0397859845
1.5009831567 12.2057600030 12.2057600030 19.2614534643
1.5358897418 12.3105874191 12.3105874191 19.4698332097
1.5707963268 12.4177088988 12.4177088988 19.6649758072
1.6057029118 12.5262194393 12.5262194393 19.8469446748
1.6406094969 12.6350550769 12.6350550769 20.0158138911
1.6755160819 12.7430280801 12.7430280801 20.1716659348
1.7104226670 12.8488636141 12.8488636141 20.3145893672
1.7453292520 12.9512366190 12.9512366190 20.4446764920
1.7802358370 13.0488078194 13.0488078194 20.5620210272
1.8151424221 13.1402579818 13.1402579818 20.6667158246
1.8500490071 13.2243197464 13.2243197464 20.7588506740
1.8849555922 13.2998065487 13.2998065487 20.8385102258
1.9198621772 13.3656383150 13.3656383150 20.9057720671
1.9547687622 13.4208637512 13.4208637512 20.9607049822
1.9896753473 13.4646791425 13.4646791425 21.0033674276
2.0245819323 13.4964436529 13.4964436529 21.0338062463
2.0594885174 13.5156911524 13.5156911524 21.0520556441
2.0943951024 13.5221386181 13.5221386181 21.0581364460
2.1118483949 13.5228613072 13.5264198515 21.0551713059
2.1293016874 13.5250271624 13.5392356098 21.0462867199
2.1467549800 13.5286295560 13.5605024502 21.0315151574
2.1642082725 13.5336574722 13.5900825648 21.0109106264
2.1816615650 13.5400955507 13.6277856366 20.9845485100
2.1991148575 13.5479241493 13.6733713616 20.9525253374
2.2165681500 13.5571194223 13.7265525658 20.9149584872
2.2340214426 13.5676534154 13.7869988318 20.8719858217
2.2514747351 13.5794941767 13.8543405421 20.8237652506
2.2689280276 13.5926058819 13.9281732380 20.7704742224
2.2863813201 13.6069489739 14.0080621969 20.7123091400
2.3038346126 13.6224803153 14.0935471298 20.6494847001
2.3212879052 13.6391533529 14.1841469096 20.5822331524
2.3387411977 13.6569182929 14.2793642507 20.5108034763
2.3561944902 13.6757222864 14.3786902682 20.4354604730
2.3736477827 13.6955096230 14.4816088599 20.3564837698
2.3911010752 13.7162219324 14.5876008648 20.2741667351
2.4085543678 13.7377983919 14.6961479634 20.1888153015
2.4260076603 13.7601759396 14.8067362967 20.1007466957
2.4434609528 13.7832894913 14.9188597906 20.0102880739
2.4609142453 13.8070721602 15.0320231799 19.9177750633
2.4783675378 13.8314554794 15.1457447344 19.8235502096
2.4958208304 13.8563696241 15.2595586941 19.7279613316
2.5132741229 13.8817436345 15.3730174266 19.6313597885
2.5307274154 13.9075056377 15.4856933197 19.5340986605
2.5481807079 13.9335830672 15.5971804279 19.4365308524
2.5656340004 13.9599028808 15.7070958898 19.3390071254
2.5830872930 13.9863917739 15.8150811348 19.2418740685
2.6005405855 14.0129763901 15.9208028976 19.1454720198
2.6179938780 14.0395835264 16.0239540561 19.0501329530
2.6354471705 14.0661403333 16.1242543111 18.9561783433
2.6529004630 14.0925745105 16.2214507200 18.8639170324
2.6703537556 14.1188144951 16.3153180998 18.7736431108
2.6878070481 14.1447896448 16.4056593092 18.6856338397
2.7052603406 14.1704304143 16.4923054207 18.6001476358
2.7227136331 14.1956685243 16.5751157915 18.5174221421
2.7401669256 14.2204371250 16.6539780385 18.4376724096
2.7576202182 14.2446709512 16.7288079245 18.3610892158
2.7750735107 14.2683064709 16.7995491581 18.2878375421
2.7925268032 14.2912820274 16.8661731113 18.2180552355
2.8099800957 14.3135379728 16.9286784552 18.1518518755
2.8274333882 14.3350167956 16.9870907151 18.0893078648
2.8448866808 14.3556632410 17.0414617441 18.0304737615
2.8623399733 14.3754244234 17.0918691138 17.9753698651
2.8797932658 14.3942499329 17.1384154210 17.9239860666
2.8972465583 14.4120919345 17.1812275065 17.8762819668
2.9146998508 14.4289052600 17.2204555839 17.8321872642
2.9321531434 14.4446474947 17.2562722755 17.7916024098
2.9496064359 14.4592790557 17.2888715507 17.7543995200
2.9670597284 14.4727632651 17.3184675644 17.7204235357
2.9845130209 14.4850664166 17.3452933927 17.6894936131
3.0019663134 14.4961578353 17.3695996616 17.6614047262
3.0194196060 14.5060099323 17.3916530691 17.6359294594
3.0368728985 14.5145982525 17.4117347967 17.6128199672
3.0543261910 14.5219015168 17.4301388126 17.5918100740
3.0717794835 14.5279016589 17.4471700659 17.5726174901
3.0892327760 14.5325838557 17.4631425760 17.5549461146
3.1066860685 14.5359365520 17.4783774200 17.5384884013
3.1241393611 14.5379514806 17.4932006265 17.5229277621
3.1415926536 14.5386236756 17.5079409819 17.5079409819
3.1539339951 14.5384771560 17.5006630727 17.5147711717
3.1662753366 14.5380785291 17.4936120131 17.5204707481
3.1786166781 14.5374896168 17.4867478130 17.5250671793
3.1909580196 14.5367725397 17.4800295874 17.5285889933
3.2032993611 14.5359893839 17.4734158484 17.5310657461
3.2156407026 14.5352018715 17.4668647935 17.5325279895
3.2279820441 14.5344710349 17.4603345873 17.5330072361
3.2403233855 14.5338569001 17.4537836357 17.5325359232
3.2526647270 14.5334181781 17.4471708498 17.5311473747
3.2650060685 14.5332119678 17.4404559002 17.5288757613
3.2773474100 14.5332934693 17.4335994595 17.5257560588
3.2896887515 14.5337157118 17.4265634335 17.5218240054
3.3020300930 14.5345292925 17.4193111810 17.5171160560
3.3143714345 14.5357821301 17.4118077213 17.5116693358
3.3267127760 14.5375192312 17.4040199322 17.5055215918
3.3390541175 14.5397824700 17.3959167359 17.4987111422
3.3513954590 14.5426103812 17.3874692764 17.4912768250
3.3637368005 14.5460379649 17.3786510878 17.4832579440
3.3760781420 14.5500965046 17.3694382542 17.4746942139
3.3884194835 14.5548133958 17.3598095631 17.4656257030
3.4007608250 14.5602119860 17.3497466531 17.4560927753
3.4131021665 14.5663114250 17.3392341556 17.4461360305
3.4254435080 14.5731265247 17.3282598341 17.4357962425
3.4377848495 14.5806676278 17.3168147188 17.4251142970
3.4501261910 14.5889404848 17.3048932405 17.4141311277
3.4624675325 14.5979461385 17.2924933624 17.4028876509
3.4748088740 14.6076808153 17.2796167120 17.3914246994
3.4871502154 14.6181358234 17.2662687120 17.3797829556
3.4994915569 14.6292974563 17.2524587130 17.3680028831
3.5118328984 14.6411469023 17.2382001261 17.3561246584
3.5241742399 14.6536601595 17.2235105561 17.3441881010
3.5365155814 14.6668079571 17.2084119352 17.3322326040
3.5488569229 14.6805556816 17.1929306563 17.3202970637
3.5611982644 14.6948633123 17.1770977042 17.3084198095
3.5735396059 14.7096853640 17.1609487827 17.2966385333
3.5858809474 14.7249708424 17.1445244356 17.2849902197
3.5982222889 14.7406632131 17.1278701563 17.2735110758
3.6105636304 14.7567003909 17.1110364836 17.2622364624
3.6229049719 14.7730147527 17.0940790737 17.2512008253
3.6352463134 14.7895331837 17.0770587443 17.2404376274
3.6475876549 14.8061771643 17.0600414788 17.2299792828
3.6599289964 14.8228629097 17.0430983788 17.2198570913
3.6722703379 14.8395015750 17.0263055532 17.2101011748
3.6846116794 14.8559995409 17.0097439252 17.2007404156
3.6969530209 14.8722587971 16.9934989422 17.1918023959
3.7092943624 14.8881774419 16.9776601679 17.1833133409
3.7216357038 14.9036503163 16.9623207382 17.1752980624
3.7339770453 14.9185697915 16.9475766605 17.1677799063
3.7463183868 14.9328267258 16.9335259423 17.1607807022
3.7586597283 14.9463116004 16.9202675349 17.1543207162
3.7710010698 14.9589158409 16.9079000890 17.1484186065
3.7833424113 14.9705333161 16.8965205277 17.1430913823
3.7956837528 14.9810619962 16.8862224542 17.1383543665
3.8080250943 14.9904057369 16.8770944288 17.1342211612
3.8203664358 14.9984761385 16.8692181649 17.1307036175
3.8327077773 15.0051944135 16.8626667083 17.1278118091
3.8450491188 15.0104931853 16.8575026809 17.1255540093
3.8573904603 15.0143181278 16.8537766747 17.1239366723
3.8697318018 15.0166293587 16.8515258857 17.1229644188
3.8820731433 15.0174025026 16.8507730694 17.1226400256
3.9190971678 14.9486661821 16.8609210442 17.0969451570
3.9561211923 14.8512918010 16.6104418152 17.3388040801
3.9931452167 14.7252019240 16.3732260340 17.5746408753
4.0301692412 14.5707104109 16.1510314911 17.8027734522
4.0671932657 14.3885188596 15.9453050436 18.0215542461
4.1042172902 14.1797115723 15.7571429080 18.2293776620
4.1412413147 13.9457490819 15.5872586275 18.4246872925
4.1782653392 13.6884601312 15.4359608643 18.6059828838
4.2152893636 13.4100318255 15.3031427309 18.7718270161
4.2523133881 13.1129974698 15.1882837082 18.9208514616
4.2893374126 12.8002213378 15.0904643790 19.0517631802
4.3263614371 12.4748792908 15.0083933264 19.1633499101
4.3633854616 12.1404337676 14.9404447263 19.2544853137
4.4004094861 11.8006012145 14.8847044947 19.3241336351
4.4374335106 11.4593095491 14.8390224271 19.3713538329
4.4744575350 11.1206428469 14.8010676015 19.3953031510
4.5114815595 10.7887702298 14.7683844158 19.3952400965
4.5485055840 10.4678561475 14.7384469361 19.3705267946
4.5855296085 10.1619501357 14.7087096763 19.3206306995
4.6225536330 9.8748559973 14.6766534422 19.2451256411
4.6595776575 9.6099833593 14.6398253848 19.1436921957
4.6966016819 9.3701886267 14.5958728639 19.0161173737
4.7336257064 9.1576169385 14.5425711063 18.8622936209
4.7706497309 8.9735607630 14.4778449232 18.6822171407
4.8076737554 8.8183527975 14.3997849508 18.4759855462
4.8446977799 8.6913095235 14.3066589859 18.2437948585
4.8817218044 8.5907365391 14.1969190434 17.9859358761
4.9187458289 8.5139983922 14.0692047594 17.7027899420
4.9557698533 8.4576460892 13.9223437345 17.3948241455
4.9927938778 8.4175873283 13.7553493621 17.0625859986
5.0298179023 8.3892798909 13.5674166236 16.7066976347
5.0668419268 8.3679282847 13.3579162740 16.3278495807
5.1038659513 8.3486670064 13.1263877770 15.9267941622
5.1408899758 8.3267191214 12.8725312974 15.5043386032
5.1779140002 8.2975245337 12.5961990070 15.0613378888
5.2149380247 8.2568371123 12.2973859218 14.5986874615
5.2519620492 8.2007931425 11.9762204486 14.1173158288
5.2889860737 8.1259553741 11.6329547957 13.6181771578
