# x_path held_b1_THz held_b2_THz held_b3_THz held_b4_THz held_b5_THz held_b6_THz
0.0000000000 -0.0000001918 0.0000001003 0.0000001633 0.6458973476 2.1800303768 18.8740542234
0.0240182919 0.1777746561 0.1892602594 0.3757065152 0.7236725862 2.2022170547 18.8721882749
0.0480365838 0.3641787283 0.3784822604 0.7489935126 0.9140305170 2.2684560689 18.8665921319
0.0720548757 0.5561688712 0.5676277336 1.1025806999 1.1723527685 2.3778554139 18.8572709013
0.0960731676 0.7502061594 0.7566583876 1.3823093065 1.5195173552 2.5289906855 18.8442330940
0.1200914595 0.9449200099 0.9455358980 1.6374083945 1.8903630131 2.7195975223 18.8274906229
0.1441097514 1.1342218968 1.1399072822 1.8825407964 2.2628734225 2.9459797966 18.8070588015
0.1681280433 1.3226779619 1.3350557120 2.1178329528 2.6346984250 3.2027964885 18.7829563411
0.1921463352 1.5108656070 1.5303187693 2.3447515874 3.0051257887 3.4837359152 18.7552053473
0.2161646271 1.6987462716 1.7256535901 2.5656108802 3.3737474717 3.7826416612 18.7238313171
0.2401829190 1.8862813120 1.9210089521 2.7825980180 3.7402451243 4.0943080788 18.6888631337
0.2642012110 2.0734319915 2.1163267843 2.9973553091 4.1043347224 4.4147030238 18.6503330620
0.2882195029 2.2601594730 2.3115460861 3.2109610558 4.4657480319 4.7408337528 18.6082767425
0.3122377948 2.4464248101 2.5066062043 3.4240564910 4.8242255134 5.0705047279 18.5627331856
0.3362560867 2.6321889407 2.7014489285 3.6369842393 5.1795136795 5.4020929524 18.5137447639
0.3602743786 2.8174126798 2.8960195794 3.8498958363 5.5313646005 5.7343757247 18.4613572047
0.3842926705 3.0020567137 3.0902673929 4.0628252694 5.8795366826 6.0664080789 18.4056195814
0.4083109624 3.1860815952 3.2841454714 4.2757364023 6.2237962831 6.3974378217 18.3465843039
0.4323292543 3.3694477389 3.4776104939 4.4885526584 6.5639198102 6.7268468219 18.2843071083
0.4563475462 3.5521154180 3.6706223149 4.7011752879 6.8996958922 7.0541102543 18.2188470455
0.4803658381 3.7340447616 3.8631435308 4.9134944678 7.2309271203 7.3787683159 18.1502664688
0.5043841300 3.9151957532 4.0551390590 5.1253959569 7.5574308859 7.7004069230 18.0786310205
0.5284024219 4.0955282297 4.2465757527 5.3367650042 7.8790390049 8.0186450832 18.0040096172
0.5524207138 4.2750018824 4.4374220610 5.5474885670 8.1955961273 8.3331272215 17.9264744335
0.5764390057 4.4535762580 4.6276477363 5.7574564905 8.5069572533 8.6435189936 17.8461008846
0.6004572976 4.6312107609 4.8172235870 5.9665620537 8.8129848824 8.9495052905 17.7629676071
0.6244755895 4.8078646575 5.0061212702 6.1747021319 9.1135463356 9.2507893731 17.6771564382
0.6484938814 4.9834970801 5.1943131191 6.3817771304 9.4085116342 9.5470923893 17.5887523931
0.6725121733 5.1580670338 5.3817720012 6.5876907871 9.6977521109 9.8381528507 17.4978436396
